VIN-NR,MAKE-OF-CAR,MODEL-Short,MODEL-YEAR
1GCCS14HX38236741,CHEV,   ,2003
1GBLP37J5W3310262,BNDR,   ,1998
4JGED6EB1HA084189,MERZ,   ,2017
4JGDA5JB4HA858956,MERZ,   ,2017
KM8R74HE1MU268396,HYUN,PAL,2021
1FT7X2A6XFEA20518,FORD,   ,2015
1GKEK13R9TJ706886,GMC ,YUK,1996
4TASM92N0YZ665946,TOYT,   ,2000
1N4AL3AP6JC274561,NISS,ALT,2018
3TMCZ5AN3PM610685,TOYT,   ,2023
1GTEC14V65Z900543,GMC ,   ,2005
5TFAZ5CN5JX058726,TOYT,   ,2018
1HGCR2F79GA116483,HOND,RCN,2016
5NPDH4AE5DH245087,HYUN,ELA,2013
1G1ZC5EU0CF390468,CHEV,MAL,2012
1C6SRFLT7NN192185,RAM ,   ,2022
5TDZA22C14S030344,TOYT,SNA,2004
1GCHK23D37F115805,CHEV,   ,2007
JM3KFBBM1N1527427,MAZD,CX5,2022
1GKEC13V92R134454,GMC ,YUK,2002
5TDFZRAH4NS095675,TOYT,   ,2022
1FTFW1EF0CFC16590,FORD,   ,2012
1GCWGAFGXK1214944,CHEV,   ,2019
1GKS1BKD9NR291316,GMC ,YUK,2022
JN1BJ1CP7KW236913,NISS,ROG,2019
1GAZG1FG3E1152362,CHEV,EXP,2014
4T1BE32K85U029719,TOYT,CAM,2005
3D7HA18Z12G208563,DODG,   ,2002
1FMJU1K82PEA23838,FORD,EPD,2023
1FTNX20L22EB83379,FORD,   ,2002
JTJBM7FX7J5182226,LEXS,G46,2018
1GNSCBE0XBR395119,CHEV,TA ,2011
1GNSCRKD9NR170839,CHEV,TAH,2022
1FT7W2BT7FEB85658,FORD,   ,2015
1FTFW1ET9CFA13039,FORD,   ,2012
JTEZU5JR8J5168345,TOYT,4RN,2018
1GTEC29029Z287197,GMC ,   ,2009
1FTEW1CP2KKE96770,FORD,   ,2019
JTEZU14R030013678,TOYT,4RN,2003
2FMPK3J99KBC25439,FORD,EDG,2019
5LTPW16547FJ01892,LINC,   ,2007
5N1DL0MN7KC502516,INFI,Q60,2019
1HTSCAAN0WH508076,INTL,   ,1998
2GCEC19V331391915,CHEV,   ,2003
1N4BA41E48C837874,NISS,MAX,2008
5TFNX4CN2EX032768,TOYT,   ,2014
1FDYR82AXHVA27861,FORD,   ,1987
1GT49PEY2RF154783,GMC ,   ,2024
2LMPJ6J98NBL18353,LINC,NAU,2022
5FNYF5H61KB011939,HOND,PIL,2019
2GNALAEK4F6434277,CHEV,EQX,2015
1FMJK1K53BEF18005,FORD,EXP,2011
JTEZU5JR6H5153613,TOYT,4RN,2017
      6F07T183942,FORD,MUS,1966
1FTRW12W48FA89979,FORD,   ,2008
WDCGG5GB6AF440487,MERZ,GK3,2010
2FAFP71V38X125747,FORD,CRO,2008
3GNEC16T11G233989,CHEV,C15,2001
1C6RR6FG2JS210925,RAM ,   ,2018
5FNYF5H33NB028302,HOND,PLT,2022
1FT7W2B68KEG08851,FORD,   ,2019
4T3ZA3BBXFU092467,TOYT,VNZ,2015
3GTRCUEA7AG161983,GMC ,   ,2010
5J6RM3H70EL007108,HOND,CRV,2014
2HKRW1H88LH418576,HOND,CRV,2020
JF2SJAEC6HH580917,SUBA,FRT,2017
KMHWF35HX5A156004,HYUN,SON,2005
1G4CU5312P1607245,BUIC,PAR,1993
3B7HC13Y11M545222,DODG,   ,2001
1FTRW07L53KB64200,FORD,   ,2003
3GKALTEV1NL307452,GMC ,TRN,2022
1G1FH3D72P0104469,CHEV,CAM,2023
1GKS1BKC3JR261200,GMC ,YUK,2018
3CZRE38379G701761,HOND,CRV,2009
1FTRF12288KC88165,FORD,   ,2008
3N1AB8CV9MY218280,NISS,SEN,2021
1GCFC24K3RE180566,CHEV,   ,1994
W1KAF4GBXPR118974,MERZ,C30,2023
1C4RJKBG1N8553243,JEEP,GCH,2022
3GCEK13378G197624,CHEV,   ,2008
2FAFP71W72X126481,FORD,   ,2002
5UXFA13544LU43923,BMW ,   ,2004
1C4RJEBGXEC260634,JEEP,GCH,2014
1FTYR14D98PA88464,FORD,   ,2008
1FT7W2BT7CEB13418,FORD,   ,2012
3HCMKSTN3FL608186,INTL,   ,2015
1GNKRLKD2DJ113441,CHEV,TRV,2013
1GT49PEY5PF196958,GMC ,   ,2023
1FTJW35F6TEA22335,FORD,   ,1996
1J4FY49S6WP748874,JEEP,WRA,1998
1FTFW1EV2AFC75600,FORD,   ,2010
4DRBUP1N8NB563076,IC  ,   ,2022
1HTWCAAR06J290413,INTL,   ,2006
1FTEX1C56KKD52019,FORD,   ,2019
1GNERGKW4MJ259135,CHEV,TRV,2021
1N4AL21E78N499319,NISS,ALT,2008
1FTEX1C85GFB30677,FORD,   ,2016
1GCGC24RXWZ253289,CHEV,   ,1998
1GKEK13K6SJ771292,GMC ,YUK,1995
JN8AZ2KR2CT251997,NISS,   ,2012
3GNEK13T83G312540,CHEV,   ,2003
5NHUCM010GU218013,CARO,   ,2016
1GC2CVCG8DZ243496,CHEV,   ,2013
4S4WMAFD8M3451885,SUBA,   ,2021
5NPE34AF9KH730504,HYUN,SON,2019
1GTCS19X6W8521893,GMC ,   ,1998
3GCUKREC6FG346853,CHEV,   ,2015
1FMCU0D79AKA52835,FORD,ECP,2010
3KPF24AD1NE472820,KIA ,FRT,2022
5TDKZRFH1HS199147,TOYT,HGH,2017
5PVNJ8JV4L5S79231,HINO,   ,2020
5NPDH4AE7GH729976,HYUN,ELA,2016
1G4HD57M49U147548,BUIC,LUC,2009
1FVACXDT7FHGG8190,FRHT,   ,2015
1FT7W2BT4HEF06557,FORD,   ,2017
1FTNR2CM8FKA05174,FORD,   ,2015
3VV3B7AX4MM096618,VOLK,   ,2021
5PVNJ8JT0K4S58766,HINO,   ,2019
KM8K12AA7KU284601,HYUN,KON,2019
3MW5R1J07L8B21017,BMW ,330,2020
1FTFX1EF3BKD64915,FORD,   ,2011
1C4RDHDG4GC322649,DODG,DUR,2016
WDCGG8JB0EG162180,MERZ,   ,2014
1N4AL21E28N465823,NISS,ALT,2008
JTHBL46F775050893,LEXS,LS ,2007
1B7HC16Y7SS331033,DODG,   ,1995
JTJGA31U550051156,LEXS,R33,2005
2LMPJ6LP1GBL38667,LINC,MKX,2016
KL7CJLSB1HB098110,CHEV,TRX,2017
1G4HP52K6XH472592,BUIC,LES,1999
1N4AL3AP2JC275044,NISS,ALT,2018
5TFEW5F13GX193716,TOYT,   ,2016
1GCWGGCA0B1174635,CHEV,   ,2011
4T1M11AK3LU320202,TOYT,CAY,2020
1GNDS13S482197518,CHEV,TBZ,2008
1HTMMAAN24H665627,INTL,   ,2004
1BAKGCPA3GF316692,BLUB,   ,2016
2T2ZZMCAXKC127058,LEXS,RX ,2019
1GCDS136968138454,CHEV,   ,2006
1G1YW3DW1A5107265,CHEV,CVT,2010
2GCEC19R3W1201411,CHEV,   ,1998
1FTRX07L4XKB21535,FORD,   ,1999
1GCGG25V671148605,CHEV,   ,2007
5XXGN4A77DG223465,KIA ,OPT,2013
1FT7W2BT5GEA19429,FORD,   ,2016
5YFEPMAE5MP231393,TOYT,COR,2021
1FT7W2BTXKEF40882,FORD,   ,2019
2T2HZMAA1NC225768,LEXS,R35,2022
2C3CCABGXFH743214,CHRY,300,2015
5FNYF5H62MB043477,HOND,PLT,2021
1G2ZG57N984207237,PONT,G6 ,2008
1N6AA1E63HN540166,NISS,   ,2017
1N4AL2AP6BC173922,NISS,ALT,2011
1GKS1GKD4PR336758,GMC ,YUK,2023
1GTGK13U13F166431,GMC ,   ,2003
KNDJ23AU3N7167212,KIA ,SOU,2022
1GC0KUEG4FZ511822,CHEV,   ,2015
1N4BL4CV9MN390822,NISS,ALT,2021
JTEFU5JR4N5256690,TOYT,4RN,2022
1FTEX1CM5DKF54442,FORD,   ,2013
3GTU2NEJ6JG267571,GMC ,   ,2018
2T3Y1RFV1MW171512,TOYT,RAV,2021
3FAHP07167R159070,FORD,FUS,2007
1C6RR6LT2GS285876,RAM ,   ,2016
5J8YD8H80NL000359,ACUR,MDX,2022
1GKS1DKC2KR219419,GMC ,YUK,2019
5FNYF5H55LB029286,HOND,PIL,2020
1C4HJXDN6MW586494,JEEP,   ,2021
5FNRL5H67GB064648,HOND,ODY,2016
1GC1KUEG8FF665116,CHEV,   ,2015
1FTYR10D55PA72084,FORD,   ,2005
4T1C11BK4PU094218,TOYT,CAM,2023
4JGDA5JB6HA833881,MERZ,350,2017
1HGCR6F72FA003237,HOND,ACC,2015
3GNEC16Z12G248174,CHEV,C15,2002
KL7CJKSB6LB072668,CHEV,TRX,2020
5N1DL0MM6HC561038,INFI,Q60,2017
2G1WU58R379106868,CHEV,IMP,2007
3N1CN7AP7KL816781,NISS,VER,2019
1GCEC14Z2PE163788,CHEV,   ,1993
1FTEW1P45LKE66373,FORD,   ,2020
SALWG2PF6GA109913,LNDR,RVR,2016
1FTEW1EG6HKC48978,FORD,   ,2017
5KBCP3F86BB002090,HOND,ACC,2011
5J6RM3H34DL021637,HOND,CRV,2013
JNKAY01E87M311202,INFI,M35,2007
JH2AF7711JK201199,HOND,   ,2018
4JGBF7BE3BA691056,MERZ,GL4,2011
1GCRCSEA0DZ235317,CHEV,   ,2013
1GYS3BKL0MR474304,1GYS,   ,2021
JTEBU5JR6L5751954,TOYT,4RN,2020
KNDPC3AC0E7587928,KIA ,SPT,2014
1GCRYAEH4LZ129993,CHEV,   ,2020
1D7HA18D93J645750,DODG,   ,2003
58ACZ1B13LU075131,LEXS,ES ,2020
5TDKK3DC1DS337417,TOYT,SNA,2013
5TBBT441XYS053624,TOYT,   ,2000
1FM5K8D83GGA73858,FORD,XPL,2016
JYARM38E8NA003254,YAMA,   ,2022
1GNERGKWXMJ158035,CHEV,TRA,2021
1FUJGLDRXCSBK2010,FRHT,   ,2012
5N1DR3BA5PC249302,NISS,PTH,2023
KMHHU6KJ6EU116024,HYUN,GEN,2014
1FTFW1CF3DFD45363,FORD,   ,2013
1GNSCEKD9NR328606,CHEV,SUB,2022
3GNEC13T22G210761,CHEV,   ,2002
1FTRX12W44NC16436,FORD,   ,2004
      F70EVV52424,FORD,   ,1975
4UZABRDTXGCGU9948,THOM,   ,2016
     CS147S187422,CHEV,   ,1967
KM8J33AL0MU322539,HYUN,TUC,2021
1GCJC33U11F189364,CHEV,   ,2001
3C4NJCBB1KT832150,JEEP,CMP,2019
5J6RM3H3XDL048633,HOND,CRV,2013
3C63R3HL4LG132558,RAM ,   ,2020
1FAFP34N65W201568,FORD,FOC,2005
5TDYK3DC0FS633395,TOYT,SNA,2015
5TDGZRBHXNS227955,TOYT,HDR,2022
5NPD74LF7KH423961,HYUN,ELA,2019
1G1PE5S92B7257589,CHEV,CRZ,2011
JHMFC1F35KX005356,HOND,CIV,2019
1FTFW1ETXDKF98254,FORD,   ,2013
5TDZK22C28S211097,TOYT,SIE,2008
1FM5K7D89HGE19312,FORD,EXP,2017
1GB2CUEG4FZ114010,CHEV,   ,2015
1J4FJ38L7LL174829,JEEP,CHE,1990
5TFJA5EC4PX013871,TOYT,   ,2023
1N6SD11S1LC317286,NISS,   ,1990
4JGDF6EE9KB226578,MERZ,GLS,2019
2FMDK38CX8BA37073,FORD,EGE,2008
5XXGM4A7XDG138848,KIA ,OPT,2013
5TDGZRAH8NS139553,TOYT,HGH,2022
1C4RJEBG7FC169161,JEEP,GCH,2015
1FTSW31F72EC20981,FORD,   ,2002
5TDKZRFH2JS258258,TOYT,HGH,2018
3VWCK21Y63M310658,VOLK,BUG,2003
5YFEPRAE8LP096437,TOYT,COA,2020
JN8AT2MT0HW138100,NISS,RGE,2017
1N4AL3AP4EC267310,NISS,RCN,2014
1LNFM82W6WY702957,LINC,TOW,1998
1FTNX20P53EC03936,FORD,   ,2003
1C4SJSFP0PS530067,JEEP,WAG,2023
2FMDK3JC9DBA93896,FORD,EDG,2013
3GCPWCET4MG392421,CHEV,   ,2021
JTEFU5JR2P5285267,TOYT,4RN,2023
1C6SRFJT7MN538592,RAM ,   ,2021
WAULDAF80NN004044,AUDI,A8 ,2022
1GCWGAFF6H1129714,CHEV,   ,2017
3GCPWCED6LG343325,CHEV,   ,2020
3N1AB7AP3GY328678,NISS,SEN,2016
3N1CP5BVXML545861,NISS,KIC,2021
5XYK53AF7PG090752,KIA ,SPT,2023
2GCEC19V031269951,CHEV,   ,2003
1FTFW1ET8CFC89583,FORD,   ,2012
5XYKW4A78EG495611,KIA ,SOR,2014
2T2ZK1BA4FC166626,LEXS,R35,2015
1GBL7T1J2RJ108407,CHEV,   ,1994
KNDP63AC2M7939770,KIA ,SPO,2021
2C3CCABG4DH618898,CHRY,300,2013
3GCEC13C58G269238,CHEV,   ,2008
1M1AN07Y5FM018285,MACK,   ,2015
5YFS4RCE3LP014378,TOYT,COA,2020
5N1AT2MT3FC836030,NISS,RGE,2015
      4H22T597442,MERC,COM,1964
1N4AL3AP4FC143331,NISS,ALT,2015
LRBFXCSA1LD212124,BUIC,   ,2020
4T4BF1FK2ER372074,TOYT,CAM,2014
2GBEC19K7R1242197,CHEV,   ,1994
3N1CN7AP3DL878102,NISS,VER,2013
JALC4W16397002125,ISU ,   ,2009
1GBHC49K99E122771,CHEV,   ,2009
4T4BF1FK4CR199851,TOYT,CAM,2012
5N1AT2MT1GC753729,NISS,RGE,2016
2C3CDZAG0FH928076,DODG,CHL,2015
1HGCV1F10JA220823,HOND,ACC,2018
4T1K61AK3LU960385,TOYT,CAM,2020
1GT12REY3JF251210,GMC ,   ,2018
7MMVABCM0PN145047,MAZD,C50,2023
WBA3A5C51DF601996,BMW ,328,2013
KNDMB233096271891,KIA ,SED,2009
5TDYY5G16JS071595,TOYT,SEQ,2018
1GCEC19X15Z160541,CHEV,   ,2005
KMHFH4JG0HA590708,HYUN,AZE,2017
1V2WR2CA6RC503364,VOLK,ATL,2024
3GCUCREC5EG317825,CHEV,   ,2014
1HGCV1F37NA124288,HOND,ACC,2022
1FT7W2BT5JEC11926,FORD,   ,2018
5TDCZRAHXNS120873,TOYT,   ,2022
2A8GM48L48R608607,CHRY,PCF,2008
KNMAT2MT9HP585787,NISS,RGE,2017
2G1WF52E229132404,CHEV,IMP,2002
3GCUKSEC5EG436114,CHEV,   ,2014
1BAKGCKA17F240056,BLUE,   ,2007
5TFRX5GN8LX173231,TOYT,   ,2020
1GNSCCKC8FR508351,CHEV,TAH,2015
3GCUKREC8JG350931,CHEV,   ,2018
1GDJC34D17E127231,GMC ,   ,2007
2G1FB1EV3A9167290,CHEV,CAM,2010
1C4BJWEG8FL598117,JEEP,WRA,2015
1GC1YNEY6LF345429,CHEV,   ,2020
1GCSCSE02AZ158079,CHEV,   ,2010
1GCVKREC2GZ114708,CHEV,   ,2016
4T1C11AK1MU417699,TOYT,CAY,2021
1FMJK1HT9MEA57370,FORD,EXP,2021
3TMAZ5CN1PM209186,TOYT,   ,2023
3GTP2VE74DG158080,GMC ,   ,2013
1GC4YNE76NF237478,CHEV,   ,2022
1FTNE24L68DB12135,FORD,EC2,2008
1N6SD16Y2VC391445,NISS,   ,1997
7MUAAAAGXNV009818,TOYT,COA,2022
1GYS4KKJ6HR344836,CADI,   ,2017
    6L67S6Q179664,CADI,ELD,1976
2GCEC19V221158459,CHEV,   ,2002
1G1BE5SM4H7209230,CHEV,CRU,2017
5J6RW1H74ML009814,HOND,CRV,2021
3HSCNAHR92N037346,INTL,   ,2002
3GNKBBRA2LS669501,CHEV,BLZ,2020
5UXCR6C06LLL75796,BMW ,X5 ,2020
1FMZU63K05UA15329,FORD,XPL,2005
3GTU2NEC9HG356529,GMC ,   ,2017
5FNRL5H6XBB087592,HOND,ODY,2011
1C4BJWFG1DL615996,JEEP,WRA,2013
1GCHC23U66F254273,CHEV,   ,2006
1BAKGCKH66F229789,BLUE,   ,2006
3GCUKREC8JG575611,CHEV,   ,2018
2FAFP71W15X173803,FORD,CVC,2005
2GTEK13T741411787,GMC ,   ,2004
1C6RR6FT4KS728419,RAM ,   ,2019
1GKS1DKC2LR169879,GMC ,YUK,2020
1M2AK05C76N010775,MACK,   ,2006
58ABK1GG8HU062458,LEXS,350,2017
1FTFW1ED7NFC16913,FORD,   ,2022
1GCRCPEH8EZ130309,CHEV,   ,2014
1FT7W2BTXHEE70339,FORD,   ,2017
1C6SRFU95NN299612,RAM ,   ,2022
1FMSK8FH8MGB06008,FORD,XPL,2021
NM0LS6BN2DT138689,FORD,   ,2013
5GAKRCED6BJ215859,BUIC,ENC,2011
2LMPJ6J96NBL22496,LINC,NAU,2022
1GBJG31U471179154,CHEV,   ,2007
1GT49PEY9NF226153,GMC ,   ,2022
3GCUKSEC9JG182126,CHEV,   ,2018
3PCAJ5JR6PF107058,INFI,Q55,2023
5UXCW2C01M9H45619,BMW ,X7 ,2021
1M2GR2GC1LM015101,MACK,   ,2020
LYV102RL5KB293798,VOLV,XC6,2019
2G1FF3D39F9296917,CHEV,CAM,2015
1FUBHSDV9KLKK9788,FRHT,   ,2019
1BAKGCJA2NF386030,BLUB,   ,2022
2GTEC13T551367352,GMC ,   ,2005
1FD7X2ATXBEA37525,FORD,   ,2011
1FT7X2A65NEC68254,FORD,   ,2022
5TEJU62N78Z495779,TOYT,   ,2008
1C6RD6KP2CS249344,DODG,   ,2012
1C4RJHBG6PC537915,JEEP,GCH,2023
1C6RR6LT7ES448356,RAM ,   ,2014
1GKKRTED5CJ359357,GMC ,   ,2012
1FMCU0GD7JUB36108,FORD,   ,2018
1GCEC14C98E154809,CHEV,   ,2008
5XXGT4L39LG385743,KIA ,OPT,2020
1XP5DB9X7LD299777,PTRB,   ,1990
WMWRC33453TE15896,MNNI,COO,2003
1FTNE24WX8DA07673,FORD,   ,2008
1G4GB5G33GF225926,BUIC,LAC,2016
JH2SC57065M103370,HOND,   ,2005
5UXFE43549L262026,BMW ,X5 ,2009
5NMS33AD7KH018209,HYUN,SFE,2019
1GTR1LEC5JZ311915,GMC ,   ,2018
1NXBR32E16Z655869,TOYT,COA,2006
1GCPWAEF4LZ124370,CHEV,   ,2020
3FRXF75G55V150893,FORD,   ,2005
5FNYF3H91DB012896,HOND,PLT,2013
5NMS2DAJ1MH361342,HYUN,SFE,2021
1C4BJWEG3CL214742,JEEP,WRA,2012
1GCGSAEA5F1207650,CHEV,   ,2015
1HVBBABN0XH698651,INTL,   ,1999
1GNKRGKDXHJ195643,CHEV,TRA,2017
1C4RDHAG9HC748293,DODG,DUR,2017
1G1ZB5STXHF222441,CHEV,RCN,2017
1G11F5RR6DF121340,CHEV,MAL,2013
1FTBF2B67EEA02441,FORD,   ,2014
4UZABRFD5KCKN9223,FRHT,   ,2019
3GNEC12J59G213051,CHEV,   ,2009
5N1BA0NF1FN616574,NISS,   ,2015
WBA7F2C53GG419510,BMW ,750,2016
3N1AB8CVXLY255093,NISS,SEN,2020
1FMJU1H59DEF31331,FORD,EPD,2013
1HGCP26869A031389,HOND,ACC,2009
1GBHC34M2GS112066,CHEV,   ,1986
5YFBURHE6JP837702,TOYT,COA,2018
1N4AL3AP4GC292646,NISS,ALT,2016
1FUJBBCG51LG58377,FRHT,   ,2001
1GNSCNKD6MR264796,CHEV,TAH,2021
4T1BE32K33U157640,TOYT,CAM,2003
4S4BSAFC0K3345004,SUBA,OUT,2019
1FT7W2BT5MED95060,FORD,   ,2021
WBA4J1C5XJBG77574,BMW ,430,2018
1FMSK7FH2PGA67544,FORD,XPL,2023
1GKKNPLS6JZ207140,GMC ,ACA,2018
KNMAT2MV2LP534819,NISS,   ,2020
5YFEPMAE5NP347162,TOYT,COA,2022
3C6UR5DL6NG350963,RAM ,   ,2022
1GDL6P1F1JV532249,GMC ,BUS,1988
3GTP1VE08CG126835,GMC ,   ,2012
3H1KD1311PD000857,HOND,   ,2023
2FMPK3K86JBB70503,FORD,EDG,2018
3BPPHM6X3JF591897,PTRB,   ,2018
WMEEJ3BA9FK802605,SMRT,FOR,2015
3KPA24ADXME430672,KIA ,RIO,2021
1FMJU1KT0HEA62028,FORD,   ,2017
2GCUDGED9P1101594,CHEV,   ,2023
1FTEW1C87AFB53193,FORD,   ,2010
3TMBZ5DN2KM017660,TOYT,   ,2019
ZACCJADB6HPE55307,JEEP,RNG,2017
2MEFM75W22X601322,MERC,GRA,2002
1FMJU1KT6NEA45570,FORD,EPD,2022
JALE5W16397900763,ISU ,   ,2009
WDDNG7BB7BA404666,MERZ,S50,2011
1GCPWDEDXKZ411288,CHEV,   ,2019
5XYKT4A24BG111445,KIA ,SOR,2011
2FAFP71W01X165492,FORD,CVC,2001
4F2CZ06158KM11543,MAZD,TRB,2008
3GCEC14X06G175797,CHEV,   ,2006
1C3CCCAB2FN718820,CHRY,200,2015
1FTBF2A61FEA52691,FORD,   ,2015
1FMFU19547LA87635,FORD,EPD,2007
JN1BJ1CP3JW193511,NISS,ROG,2018
4T1BE46KX9U831369,TOYT,CAM,2009
WDYPD444455819843,FRHT,SPR,2005
1FMJU1H54BEF48633,FORD,EPD,2011
1FDWF36P23EB39645,FORD,   ,2003
1GKS1KE09DR358651,GMC ,YUK,2013
SMT920K135J211641,TRUM,   ,2005
5XYK3CAF9PG106651,KIA ,SPT,2023
1GT11ZCG2CF210986,GMC ,   ,2012
1FTFW1EF4DKF57497,FORD,   ,2013
1FT7W2B67KEE36487,FORD,   ,2019
3C6UR5HL3HG737078,RAM ,   ,2017
1GB3CZCL8BF223941,CHEV,   ,2011
3GCUKPEC3EG221778,CHEV,   ,2014
2G1WA5E3XE1174444,CHEV,IMP,2014
1FT7W2BT0NEC56374,FORD,   ,2022
1C6RR7KTXKS502560,RAM ,   ,2019
3C63DPGL5CG229453,DODG,   ,2012
1FMCU0C78CKB10003,FORD,ECP,2012
4T1BF1FK4GU163917,TOYT,CAM,2016
3GNAXHEV6KS602469,CHEV,   ,2019
1J4RR4GGXBC538580,JEEP,GRC,2011
       1132742012,VOLK,   ,1973
1HGCV1F48JA156170,HOND,ACC,2018
1D7HA16N02J230455,DODG,   ,2002
2FALP71W6TX191116,FORD,CRV,1996
2G1FK3DJ7C9199821,CHEV,CAM,2012
1GC0CUEG2HZ344828,CHEV,   ,2017
3A8FY48949T576387,CHRY,CRU,2009
5FNRL18943B135348,HOND,ODY,2003
MAJ6S3JL2LC349264,FORD,ECO,2020
1HGCV3F55JA011785,HOND,ACC,2018
1FTWW32F51EB28685,FORD,   ,2001
1GKS1JKL9PR180799,GMC ,YUK,2023
1G8ZV57B49F216113,STRN,AUR,2009
WBADW3C57DJ526969,BMW ,328,2013
4T1BK36B97U253295,TOYT,AVA,2007
1FCJE39Y4JHC08806,FORD,   ,1988
1FVHCYBS3CHBK5076,FRHT,   ,2012
1HGCR3F87DA007322,HOND,ACC,2013
JHMCP26339C012353,HOND,ACC,2009
3HAJFAVK6AL279795,INTL,   ,2010
JN1BV7AP4EM672693,INFI,Q50,2014
5FNYF3H70EB018902,HOND,PLT,2014
5TFKU4HN1FX005793,TOYT,   ,2015
1B3LC56K38N270012,DODG,AVN,2008
3GTP1MEC0GG172461,GMC ,   ,2016
KNDPM3AC1M7937739,KIA ,SPO,2021
1FAFP44432F161569,FORD,MUS,2002
4T1BF1FK3CU550162,TOYT,CAM,2012
1FT7W2BT6HEC46050,FORD,   ,2017
JS1VS54A532111145,SUZI,   ,2003
3C63RRKL3MG518952,RAM ,   ,2021
2G4WS52J731188043,BUIC,CEN,2003
1HD1KRM17FB666628,HD  ,   ,2015
4JGDF6EEXFA548187,MERZ,GL4,2015
1G1PE5SBXF7197165,CHEV,CRU,2015
1FTRF12277NA50465,FORD,   ,2007
5FNRL6H70JB058972,HOND,ODY,2018
2FMPK3K80GBB25677,FORD,EDG,2016
1GDJ6F1337F400300,GMC ,   ,2007
4UZ6CJAA01CH50527,FRHT,   ,2001
1FTFW1C55MKE19073,FORD,   ,2021
5TFLA5DB0PX057173,TOYT,   ,2023
5N1DR3CB0PC215064,NISS,PTH,2023
JN1BY1APXDM511221,INFI,M37,2013
1FT7W2B62CEB83323,FORD,   ,2012
4DRBUAAN0EB489617,IC  ,   ,2014
3GNCJKSB8KL270000,CHEV,TRX,2019
1FD0W5HTXNEF62780,FORD,   ,2022
1V2CR2CA0JC549683,VOLK,ATL,2018
WAUACGFF3F1094150,AUDI,A3 ,2015
JTHP3JBH5L2026387,LEXS,   ,2020
2HGFB2F53CH555559,HOND,CIV,2012
JN8AF5MR9BT015479,NISS,JUK,2011
3C6JR6DTXMG562949,RAM ,   ,2021
1FMRU15W72LA47053,FORD,EPD,2002
1FMJU1KT8JEA32393,FORD,   ,2018
1FTRF12225NB02520,FORD,   ,2005
2T3W1RFV1NC174355,TOYT,   ,2022
1N6SD16S8RC363666,NISS,   ,1994
WA1AUCF3XN1007139,AUDI,Q3 ,2022
1J4G248SXYC276373,JEEP,GRC,2000
1GNET13HX72253739,CHEV,TRB,2007
1FTFW1EF1DKF51124,FORD,   ,2013
1FTEX1CP7MKD41812,FORD,   ,2021
3GTP1VE04CG169133,GMC ,   ,2012
1GKFC16J38R233342,GMC ,YUK,2008
JL6AMG1A7CK004278,MIFU,   ,2012
3CZRU6H54NM733794,HOND,HRV,2022
1FTFW1EF0CFC49525,FORD,   ,2012
5FNYF3H58DB030910,HOND,PLT,2013
1FTYR2CM0KKB62060,FORD,   ,2019
1FM5K7D85GGC81766,FORD,XPL,2016
1GC5WLE7XMF225394,CHEV,   ,2021
1GMDX03E83D232634,PONT,MTA,2003
JTEGF21AX30084571,TOYT,HGH,2003
1G6KD5EY1AU136501,CADI,RCN,2010
1FT7W2A6XFEB85617,FORD,   ,2015
J8BE5W16X87900959,CHEV,   ,2008
JN8CS1MU4FM381397,INFI,QX7,2015
KMHCM36C28U077585,HYUN,ACC,2008
3N1AB8DV7LY299468,NISS,SEN,2020
KNDJ23AU7N7154009,KIA ,SOU,2022
1GNERGKW2NJ109641,CHEV,TRV,2022
3GCEK23369G141780,CHEV,   ,2009
1GCGG25C891130348,CHEV,   ,2009
JN8AZ08T27W513836,NISS,   ,2007
1FMCU0GD7KUB15549,FORD,ECP,2019
JT2BG22K4W0196444,TOYT,CAM,1998
1GCGG25V461199776,CHEV,EXP,2006
3VV3B7AX6MM074667,VOLK,TIG,2021
JG1MR3362MK606430,GEO ,MET,1991
JALB4B16467007883,ISU ,   ,2006
1FMSK7DH5MGC01803,FORD,EXP,2021
4T1BF1FK2FU476477,TOYT,CAM,2015
1C4HJXFN1LW111220,JEEP,WRA,2020
JN1CA31D71T826733,NISS,MAX,2001
3D6WG4EL3AG108961,DODG,   ,2010
JN8AT2MT2LW010420,NISS,ROG,2020
1G4HD57208U203062,BUIC,LUC,2008
1C4HJXDGXLW105792,JEEP,WRA,2020
1HGCT1B78FA010736,HOND,ACC,2015
2G1FP22G312124235,CHEV,CAM,2001
1GC4YPEY5NF105946,CHEV,   ,2022
KM8JU3AC3DU727615,HYUN,TCN,2013
2G1FC1E3XE9221962,CHEV,CAM,2014
JF2SJAEC8EH414507,SUBA,FOR,2014
1FMCU0GX3DUC13152,FORD,ECP,2013
1D3HV18T59S821886,DODG,   ,2009
1GNSCJE00DR339073,CHEV,C15,2013
W1KZF8DB6LA857587,MERZ,E35,2020
1FT7W2BT2KEF09478,FORD,   ,2019
5XYKT4A60FG622871,KIA ,SOR,2015
WA1EVBF12ND024023,AUDI,Q8 ,2022
3C6UR4DL9JG169554,RAM ,   ,2018
3TMJU62N98M069265,TOYT,   ,2008
1FDAF57F02EB59712,FORD,   ,2002
4A4MM31S28E012620,MITS,EDV,2008
3GTU2NEC6JG299258,GMC ,   ,2018
4KLB4B1R51J800701,ISUZ,   ,2001
1LNHM81W75Y635116,LINC,TOW,2005
1GCEC14WXYZ180175,CHEV,   ,2000
